cert,name,state,assets_k,investment,service,severity,decision,why,best_county,best_rank,branches_there,pe_finding,outcome
34217,The First Bank,Mississippi,6463617,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
27210,InterBank,Oklahoma,4193164,Low Satisfactory,,one,OUT — TOKEN PRESENCE,2br in #5 Dallas,Dallas,5,2,,
13102,Lake City Bank,Indiana,6412535,Low Satisfactory,,one,DEFER — SINGLE GAP,"#34 Marion, 3br",Marion,34,3,,
34967,Popular Bank,New York,11104847,Low Satisfactory,,one,DEFER — SINGLE GAP,"#6 Kings, 6br",Kings,6,6,,
57968,Primis Bank,Virginia,3831355,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #45 Prince George's,Prince George's,45,1,,
18129,BankNewport,Rhode Island,2301356,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #153,Providence,153,6,,
7593,First Citizens Community Bank,Pennsylvania,2208830,Low Satisfactory,,one,DEFER — SINGLE GAP,"#18 Philadelphia, 3br",Philadelphia,18,3,,
6085,First PREMIER Bank,South Dakota,3503723,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #407,Minnehaha,407,5,,
1058,Midwest BankCentre,Missouri,2374880,Low Satisfactory,,one,DEFER — SINGLE GAP,"#48 St. Louis, 9br",St. Louis,48,9,,
25858,Equity Bank,Kansas,3862184,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #49 Oklahoma,Oklahoma,49,2,,
12839,First Farmers Bank & Trust Co.,Indiana,2298100,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #236,Tippecanoe,236,2,,
713,Orrstown Bank,Pennsylvania,2780990,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#68 Baltimore, 4br, both gap",Baltimore,68,4,,
58463,SmartBank,Tennessee,4606198,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #72 Jefferson,Jefferson,72,1,,
16876,Banco Popular de Puerto Rico,Puerto Rico,41627000,Low Satisfactory,,one,DEAD,closed institution,,,,,
17798,Beacon Bank and Trust,Massachusetts,4966140,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#53 Middlesex, 12br, both gap",Middlesex,53,12,,
26247,Central Bank of the Midwest,Missouri,3577679,Low Satisfactory,,one,DEAD,closed institution,,,,,
8675,Essex Bank,Virginia,1614861,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
30836,Territorial Savings Bank,Hawaii,2085473,Low Satisfactory,,one,DEAD,closed institution,,,,,
34422,American Bank,Pennsylvania,636580,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #135,Lehigh,135,1,,
1291,Farmers Bank & Trust Company,Arkansas,1621234,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #56 Collin,Collin,56,2,,
27677,HomeTrust Bank,North Carolina,3409271,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #36 Gwinnett,Gwinnett,36,1,,
90303,South Shore Bank,Massachusetts,1482441,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #180,Norfolk,180,8,,
15511,First State Bank,Texas,1657003,Needs to Improve,,crit,OUT — TOKEN PRESENCE,1br in #56 Collin,Collin,56,1,,
58696,FVCbank,Virginia,2338667,Needs to Improve,,crit,OUT — TOKEN PRESENCE,1br in #76 Baltimore City,Baltimore City,76,1,,
18013,Mascoma Bank,New Hampshire,2886966,,Low Satisfactory,one,OUT — LOW NEED,best county ranks #596,Merrimack,596,1,,
12368,Regions Bank,Alabama,151314000,,Low Satisfactory,one,DEFER — SINGLE GAP,"#2 Harris, 7br",Harris,2,7,,
3890,Simmons Bank,Arkansas,26749112,,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #2 Harris,Harris,2,2,,
7783,The Citizens National Bank and Trust Company of Towanda,Pennsylvania,2656955,,Low Satisfactory,one,DEAD,closed institution,,,,,
5496,Cornerstone Bank,Nebraska,2687176,,Low Satisfactory,one,OUT — LOW NEED,best county ranks #1113,Buffalo,1113,1,,
12229,First Bank,Missouri,6554829,,Low Satisfactory,one,DEFER — SINGLE GAP,"#1 Los Angeles, 15br",Los Angeles,1,15,,
13012,First Community Bank,Virginia,3213604,,Low Satisfactory,one,OUT — LOW NEED,best county ranks #253,Washington,253,2,,
4865,Sandy Spring Bank,Maryland,13883883,,Low Satisfactory,one,DEAD,closed institution,,,,,
11579,Union Bank and Trust Company,Virginia,20495690,,Low Satisfactory,one,DEAD,closed institution,,,,,
11241,Centennial Bank,Arkansas,22808174,,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
12982,Civista Bank,Ohio,3006039,,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #21 Franklin,Franklin,21,2,,
7759,Univest  Bank and Trust Co.,Pennsylvania,6892885,,Low Satisfactory,one,DEFER — SINGLE GAP,"#18 Philadelphia, 7br",Philadelphia,18,7,,
58823,CapStar Bank,Tennessee,2982350,,Low Satisfactory,one,DEAD,closed institution,,,,,
8136,Independence Bank of Kentucky,Kentucky,3062572,,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #46 Jefferson,Jefferson,46,1,,
59052,NBH Bank,Colorado,6948775,,Low Satisfactory,one,DEFER — SINGLE GAP,"#5 Dallas, 7br",Dallas,5,7,,
11035,Peapack Private Bank & Trust,New Jersey,5892261,,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #23 New York,New York,23,1,,
17491,PlainsCapital Bank,Texas,13674043,,Low Satisfactory,one,DEFER — SINGLE GAP,"#2 Harris, 5br",Harris,2,5,,
873,Synovus Bank,Georgia,48103435,,Low Satisfactory,one,DEAD,closed institution,,,,,
26483,Needham Bank,Massachusetts,2345536,,Low Satisfactory,one,DEFER — SINGLE GAP,"#53 Middlesex, 3br",Middlesex,53,3,,
