"citation","section","topic","heading","summary","household_types_affected","civica_relevance","key_quote"
"7 CFR §273.9(d)(4)(iii)","273.9","dependent care deduction","Activity / fees for dependent care","Activity or other fees associated with care provided to the dependent and necessary for household participation are deductible.","all earned-income households","LOW",""
"7 CFR §273.9(d)(5)","273.9","child support deduction","Optional child support deduction (State option)","State agency option: provide a deduction for legally obligated child support payments paid to or for a nonhousehold member (including arrears and vendor payments to third parties), in lieu of the 273.9(c)(17) exclusion. Alimony is not deductible under this option. STATE-OPTION JOIN.","all","HIGH","""At its option, the State agency may provide a deduction, rather than the income exclusion provided under paragraph (c)(17)"""
"7 CFR §273.9(d)(6)","273.9","shelter deduction","Shelter costs (umbrella)","Three flavors of shelter relief: optional homeless shelter deduction, excess shelter deduction (capped except for elderly/disabled), and standard utility allowances.","all","HIGH",""
"7 CFR §273.9(d)(6)(i)","273.9","shelter deduction","Homeless shelter deduction ($143)","State agency option: provide a $143/month standard homeless shelter deduction to households where all members are homeless but not receiving free shelter throughout the month. May exclude households with extremely low shelter costs. STATE-OPTION JOIN.","all","MEDIUM","""A State agency may provide a standard homeless shelter deduction of $143 a month"""
"7 CFR §273.9(d)(6)(ii)","273.9","shelter deduction","Excess shelter deduction","Monthly shelter expenses above 50% of post-other-deductions income are deductible, capped (for non-elderly/non-disabled households) at the maximum shelter deduction. Allowable expenses include rent/mortgage, property tax/insurance, utilities, internet, telephone, vacant-home costs, and repair costs from disasters.","all","HIGH","""Monthly shelter expenses in excess of 50 percent of the household income after all other deductions"""
"7 CFR §273.9(d)(6)(ii)(A)","273.9","shelter deduction","Continuing shelter charges","Rent, mortgage, condo/association fees, and other continuing ownership charges (including loan repayments and interest for mobile-home purchase) are allowable shelter expenses.","all","MEDIUM",""
"7 CFR §273.9(d)(6)(ii)(B)","273.9","shelter deduction","Property taxes, assessments, structure insurance","Property taxes, state/local assessments, and insurance on the structure (not personal-belongings insurance) are allowable shelter expenses.","all","MEDIUM",""
"7 CFR §273.9(d)(6)(ii)(C)","273.9","shelter deduction","Utilities, telephone, internet","Heating, cooling, electricity, water, sewerage, well/septic install and maintenance, garbage/trash, one telephone (all service fees), basic internet (monthly fees, taxes, one modem rental), and utility install fees are allowable. One-time deposits are not.","all","HIGH",""
"7 CFR §273.9(d)(6)(ii)(D)","273.9","shelter deduction","Vacant-home shelter costs","Shelter costs for a home temporarily unoccupied due to employment, training, illness, or disaster abandonment are deductible if the household intends to return, the home is not leased/rented during absence, and current occupants are not claiming the costs.","all","LOW",""
"7 CFR §273.9(d)(6)(ii)(E)","273.9","shelter deduction","Disaster repair costs","Charges for repair of a home substantially damaged or destroyed by natural disaster are deductible -- but not if reimbursed by insurance, relief agencies, or other sources.","all","LOW",""
"7 CFR §273.9(d)(6)(iii)","273.9","utility allowance","Standard utility allowances","State agencies may use standard utility allowances (SUAs) in place of actual costs. Allowable standards include: individual standards per utility, a heating/cooling-inclusive standard (HCSUA), and a limited utility allowance (LUA). Subject to State-Plan election, FNS methodology approval, and annual update. STATE-OPTION JOIN.","all","HIGH",""
"7 CFR §273.9(d)(6)(iii)(A)","273.9","utility allowance","Allowable SUA types","States may use an individual-utility standard, a heating/cooling SUA (HCSUA), and an LUA. The LUA must cover at least two utilities and may include phone and/or internet. Same expense cannot be double-counted.","all","HIGH",""
"7 CFR §273.9(d)(6)(iii)(B)","273.9","utility allowance","Annual SUA review","State agencies must review SUA amounts annually, round to the nearest whole dollar, and submit methodologies to FNS for approval when developed or changed.","all","LOW",""
"7 CFR §273.9(d)(6)(iii)(C)","273.9","utility allowance","Five-year SUA methodology review","State agencies must submit SUA methodologies to FNS at least every five years; baseline data and methodology must reflect recent trends, source data from utility providers, reflect low-income expenses, distinguish heating/cooling, and reflect residential utility expenses.","all","LOW",""
"7 CFR §273.9(d)(6)(iii)(D)","273.9","utility allowance","HCSUA eligibility -- three pathways","Heating/cooling SUA must be made available to households that pay heating/cooling separately, are billed individually by landlords or charged flat-rate, OR received a qualifying LIHEAP/similar payment greater than $20 annually in the current or preceding 12 months.","all","HIGH","""Households that receive a payment ... under the Low Income Home Energy Assistance Act of 1981 (LIHEAA) or other similar energy assistance program"""
"7 CFR §273.9(d)(6)(iii)(D)(1)","273.9","utility allowance","HCSUA -- household incurs heating/cooling separately","A household that incurs heating or cooling expenses separately from rent or mortgage is entitled to the HCSUA.","all","MEDIUM",""
"7 CFR §273.9(d)(6)(iii)(D)(2)","273.9","utility allowance","HCSUA -- rentals billed individually or flat-rate","Households in rental housing billed by landlords by individual usage or charged a flat rate separately from rent are entitled to the HCSUA. Public-housing excess-usage charges only qualify if the State mandates SUA use.","all","MEDIUM",""
"7 CFR §273.9(d)(6)(iii)(D)(3)","273.9","utility allowance","HCSUA -- LIHEAP recipient ($20+/yr)","Households that received (or had received on their behalf) a LIHEAP or similar payment greater than $20 annually in the current or preceding 12 months are entitled to the HCSUA.","all","HIGH",""
"7 CFR §273.9(d)(6)(iii)(E)","273.9","utility allowance","One SUA per household (occupied + unoccupied)","A household with both an occupied home and an unoccupied home is entitled to only one SUA.","all","LOW",""
"7 CFR §273.9(d)(6)(iii)(F)","273.9","utility allowance","Household choice between SUA and actual costs","At initial certification, recertification, or move, the household may choose between an SUA and verified actual costs -- unless the State has mandated SUA use. 24-month-certified households may also switch at mandatory interim contact under 273.10(f)(1). STATE-OPTION JOIN.","all","HIGH","""the household may choose between a standard or verified actual utility costs"""
"7 CFR §273.9(d)(6)(iii)(G)","273.9","utility allowance","Mandatory SUA at State option","State agency option: mandate use of SUAs for all households with qualifying expenses, provided the State has at least one heating/cooling and one non-heating/cooling SUA and the standards do not increase program costs (except for legitimate cost increases). STATE-OPTION JOIN.","all","HIGH","""A State agency may mandate use of standard utility allowances for all households"""
"7 CFR §273.9(d)(6)(iii)(H)","273.9","utility allowance","Proration of SUA in shared-housing situations","If a household shares heating/cooling expenses with another individual or household, the State must not prorate the SUA where mandatory SUA use is in effect, and must not prorate if non-SNAP cohabitants are ineligible-only.","all","MEDIUM",""
"7 CFR §273.10","273.10","calculation methodology","Determining household eligibility and benefit levels","Top-level section governing how the State agency determines eligibility, benefit levels, certification periods, and the mechanics of anticipating income/expenses across a certification period.","all","HIGH",""
"7 CFR §273.10(a)","273.10","calculation methodology","Month of application (umbrella)","Determines how eligibility, prorated benefits, and recertification work in the initial month and how anticipated changes affect allotments.","all","HIGH",""
"7 CFR §273.10(a)(1)","273.10","calculation methodology","Initial-month eligibility and benefit level","Eligibility for the month of application is determined using the household's entire-month circumstances; benefit level is prorated from date of application to end of month (with special handling for institutional release and SSI joint applicants).","all","HIGH",""
"7 CFR §273.10(a)(1)(i)","273.10","calculation methodology","Whole-month eligibility determination","Eligibility for the month of application is determined by considering the household's circumstances for the entire calendar month (or, with FNS approval, a fiscal month).","all","HIGH","""determined for the month of application by considering the household circumstances for the entire month"""
"7 CFR §273.10(a)(1)(ii)","273.10","calculation methodology","Proration of initial-month benefits","Initial-month benefits run from date of application to end of month; the State must prorate using either a standard 30-day month (treating the 31st as the 30th) or the exact length of the calendar/fiscal month. Initial month is defined here.","all","HIGH","""benefit level for the initial months of certification shall be based on the day of the month it applies for benefits"""
"7 CFR §273.10(a)(1)(iii)","273.10","calculation methodology","Proration formula and minimum issuance","States use FNS proration tables or specified formulas; rounding produces whole-dollar allotments. If the prorated allotment is under $10 in the initial month, no issuance is made.","all","MEDIUM","""If the computation results in an allotment of less than $10, then no issuance shall be made for the initial month."""
"7 CFR §273.10(a)(2)","273.10","calculation methodology","Application for recertification","Recertification eligibility is determined based on anticipated circumstances for the next certification period. Late recertification applications are treated as initial applications and prorated; a State-agency error means restoration of benefits per 273.14(e).","all","MEDIUM",""
"7 CFR §273.10(a)(3)","273.10","anticipating income","Anticipated changes affecting eligibility month-to-month","A household may be eligible in the month of application but ineligible in the next month (or vice versa) due to anticipated changes. The application is used for both months; if eligibility shifts, no reapplication is required.","all","MEDIUM",""
"7 CFR §273.10(a)(4)","273.10","calculation methodology","Variable allotments within a certification period","Allotments may vary month-to-month within a certification period to reflect anticipated changes, unless the household elects to average per 273.10(c)(3) and (d)(3). Certification periods should be set to the longest period over which changes can be reasonably anticipated.","all","HIGH","""shall vary month to month within the certification period to reflect changes anticipated at the time of certification"""
"7 CFR §273.10(b)","273.10","calculation methodology","Determining resources","Available resources at the time of interview are used to determine eligibility.","all","LOW",""
"7 CFR §273.10(c)","273.10","anticipating income","Determining income (umbrella)","Three subsections govern how income is determined: anticipation, month-of-receipt counting, and averaging.","all","HIGH",""
"7 CFR §273.10(c)(1)","273.10","anticipating income","Anticipating income","Income already received during the certification period plus any reasonably-certain anticipated income is counted. Uncertain income (amount or timing) is not counted; in fluctuating cases the household may elect to average. This is the central rule for handling unstable gig/self-employment income.","gig/contract workers, self-employed (non-farm), self-employed (farm), tipped workers, cash-paid workers","HIGH","""income already received by the household during the certification period and any anticipated income the household and the State agency are reasonably certain will be received"""
"7 CFR §273.10(c)(1)(i)","273.10","anticipating income","Standard for reasonable certainty","If the amount or timing of income is uncertain, the uncertain portion is not counted. For new income sources (new job, recently applied PA), money is not anticipated unless there is reasonable certainty of month and amount. In fluctuating-but-certain cases the household may elect to income-average.","gig/contract workers, all earned-income households","HIGH","""that portion of the household income that is uncertain shall not be counted by the State agency"""
"7 CFR §273.10(c)(1)(ii)","273.10","anticipating income","30-day past income as indicator; seasonal/fluctuating exceptions","Income received in the past 30 days is the default indicator of anticipated income, but past income is not used when changes have occurred or can be anticipated. A longer past period may be used for fluctuating income, and the most recent comparable season for seasonal income.","self-employed (farm), gig/contract workers, tipped workers, cash-paid workers","HIGH","""Income received during the past 30 days shall be used as an indicator of the income that is and will be available to the household"""
"7 CFR §273.10(c)(2)","273.10","anticipating income","Income counted only in month received (or averaged)","Anticipated income counts only in the month it is expected to be received unless averaged. Weekly-to-monthly conversion uses x4.3, biweekly uses x2.15 (or the State PA conversion standard or exact monthly figure). Nonrecurring lump sums are not income.","all earned-income households","HIGH","""convert the income to a monthly amount by multiplying weekly amounts by 4.3 and biweekly amounts by 2.15"""
"7 CFR §273.10(c)(2)(i)","273.10","anticipating income","Conversion of weekly / biweekly income","Weekly-to-monthly conversion uses x4.3; biweekly uses x2.15. State PA conversion standards or the exact monthly figure can be used as alternatives.","all earned-income households, tipped workers","HIGH",""
"7 CFR §273.10(c)(2)(ii)","273.10","anticipating income","Held wages, employer-held wages, wage advances","Wages held at employee request count in the month they would otherwise have been paid. Wages held by the employer as general practice are NOT counted until paid out. Wage advances count in the month received only if reasonably anticipated.","all earned-income households, tipped workers, cash-paid workers","HIGH",""
"7 CFR §273.10(c)(2)(iii)","273.10","anticipating income","Mailing/pay-date timing variations","Recurring monthly or semimonthly income shall not be varied month-to-month merely because of mailing-cycle shifts or pay-date weekends/holidays.","all","MEDIUM",""
"7 CFR §273.10(c)(3)","273.10","anticipating income","Income averaging","States may apply income averaging statewide for categories of households, recalculating at recertification and after reported income changes. Conversion of weekly/biweekly income does not constitute averaging. STATE METHODOLOGY JOIN.","all","HIGH","""Income may be averaged in accordance with methods established by the State agency to be applied Statewide for categories of households"""
"7 CFR §273.10(c)(3)(i)","273.10","anticipating income","Statewide-category averaging methodology","The State agency establishes the averaging methodology, applied statewide for defined categories, using the household's own anticipation of monthly income fluctuations. Recalculated at recertification and on reported changes.","all","HIGH",""
"7 CFR §273.10(c)(3)(ii)","273.10","self-employment income","12-month averaging for contract / self-employment income","Households that derive annual income in a period shorter than 1 year by contract or self-employment (e.g., school employees, sharecroppers, farmers) must have that income averaged over 12 months, unless paid hourly or by piecework. Does not apply to migrant/seasonal farmworkers. Self-employment averaging procedures are in 273.11.","self-employed (non-farm), self-employed (farm), gig/contract workers","HIGH","""Households which, by contract or self-employment, derive their annual income in a period of time shorter than 1 year shall have that income averaged over a 12-month period"""
"7 CFR §273.10(c)(3)(iii)","273.10","anticipating income","Educational-income averaging","Earned and unearned educational income (after exclusions) is averaged over the period the income is intended to cover. Income may be counted in the month received or anticipated for first installment, but is prorated over the intended period.","students","MEDIUM",""
"7 CFR §273.10(d)","273.10","calculation methodology","Determining deductions (umbrella)","Sets out how deductions are applied: disallowed expenses, when expenses are deductible (month billed), averaging, anticipation, conversion, energy assistance, SSI medical deduction, and the optional child support deduction.","all","HIGH",""
"7 CFR §273.10(d)(1)","273.10","calculation methodology","Disallowed expenses (umbrella)","Expenses covered by excluded income (education, vendor payments, demonstration cash conversions, JOBS/TCC reimbursements, HUD utility reimbursements) and expenses paid by other household members or in-kind are not deductible.","all","MEDIUM",""
"7 CFR §273.10(d)(1)(i)","273.10","calculation methodology","Expenses covered by excluded income -- disallowed","Expenses covered by excluded educational assistance, excluded vendor payments (including demonstration cash conversions), JOBS/TCC dependent-care reimbursements, and HUD/FmHA utility reimbursements are not deductible. Nonreimbursable portions of medical expenses remain deductible.","all","MEDIUM",""
"7 CFR §273.10(d)(1)(ii)","273.10","calculation methodology","Expenses paid in-kind or by another household member -- disallowed","Deductions only apply when the service is provided by someone outside the household and the household makes a money payment. In-kind compensation and intra-household care are not deductible.","all","MEDIUM","""Expenses shall only be deductible if the service is provided by someone outside of the household and the household makes a money payment for the service."""
"7 CFR §273.10(d)(2)","273.10","calculation methodology","Billed expenses (month-of-bill rule)","An expense is deductible only in the month it is billed or becomes due, regardless of when paid. Amounts carried forward from past billing periods are not deductible. A particular expense may only be deducted once.","all","HIGH","""a deduction shall be allowed only in the month the expense is billed or otherwise becomes due"""
"7 CFR §273.10(d)(3)","273.10","calculation methodology","Averaging expenses (household election)","Households may elect to average fluctuating expenses, expenses billed less often than monthly (over the interval), or one-time expenses across the certification period. Special rules apply to one-time medical expenses for 24-month certifications.","all","MEDIUM","""Households may elect to have fluctuating expenses averaged."""
"7 CFR §273.10(d)(4)","273.10","calculation methodology","Anticipating expenses","Expenses are based on what the household expects to be billed during the certification period. The most recent month's bills are the default basis. Past expenses must not be averaged as a forecast for SUA-less utility cases. Medical expenses must be reported and verified at certification.","all","MEDIUM","""The State agency shall calculate a household expenses based on the expenses the household expects to be billed for during the certification period."""
"7 CFR §273.10(d)(5)","273.10","calculation methodology","Conversion of deductions","Income-conversion procedures (x4.3 weekly, x2.15 biweekly) also apply to expenses billed weekly or biweekly.","all","MEDIUM",""
"7 CFR §273.10(d)(6)","273.10","calculation methodology","Proration of energy assistance payments","Energy assistance payments are prorated over the entire heating or cooling season they are intended to cover. Prorated payments may qualify the household for HCSUA in more than one season.","all","LOW",""
"7 CFR §273.10(d)(7)","273.10","medical deduction","SSI-recipient medical and uncapped shelter deductions on retroactive period","Households with a disabled SSI member are entitled to the excess medical deduction (273.9(d)(3)) and the uncapped excess shelter deduction (273.9(d)(5)) back to the SSI authorization date or SNAP application date, whichever is later -- including in restored-benefit cases.","elderly/disabled","MEDIUM",""
"7 CFR §273.10(d)(8)","273.10","child support deduction","Optional child support deduction -- budgeting","If the State has elected the 273.9(d)(5) deduction, it may budget child support per 273.10(d)(2)-(5) or retrospectively under 273.21, regardless of how other circumstances are budgeted. STATE-OPTION JOIN.","all","MEDIUM",""
"7 CFR §273.10(e)","273.10","calculation methodology","Calculating net income and benefit levels (umbrella)","The step-by-step computation of net income, the eligibility tests, the allotment formula, destitute household rules, and the Thrifty Food Plan / maximum allotment basis.","all","HIGH",""
"7 CFR §273.10(e)(1)","273.10","calculation methodology","Net monthly income calculation (umbrella)","Specifies the ordered eight-step net-income computation and the rounding-procedure options.","all","HIGH",""
"7 CFR §273.10(e)(1)(i)","273.10","calculation methodology","Eight-step net-income computation","Net income is computed by: (A) adding gross earned + unearned income, (B) subtracting 20% earned income deduction, (C) subtracting standard deduction, (D) subtracting medical excess, (E) subtracting dependent care, (F) subtracting child-support deduction if elected, (G) subtracting homeless shelter deduction, (H) computing excess shelter (shelter minus 50% of net), and (I) subtracting capped excess shelter (uncapped for elderly/disabled).","all","HIGH","""To determine a household net monthly income"""
"7 CFR §273.10(e)(1)(i)(A)","273.10","calculation methodology","Step 1: gross income, with farm self-employment loss offset","Sum gross monthly earned plus unearned income, minus exclusions. Self-employment farm losses are offset per 273.11(a)(2)(iii).","self-employed (farm), all earned-income households","HIGH","""Net losses from the self-employment income of a farmer shall be offset in accordance with 273.11(a)(2)(iii)."""
"7 CFR §273.10(e)(1)(i)(B)","273.10","earned income deduction","Step 2: 20% earned income deduction","Multiply gross earned income by 20% and subtract; or multiply by 80% and add back to unearned. Excluded earnings used to pay excluded child support are still multiplied by 20% and subtracted.","all earned-income households","HIGH","""Multiply the total gross monthly earned income by 20 percent and subtract that amount from the total gross income"""
"7 CFR §273.10(e)(1)(i)(C)","273.10","calculation methodology","Step 3: subtract standard deduction","Subtract the standard deduction (273.9(d)(1)).","all","HIGH",""
"7 CFR §273.10(e)(1)(i)(D)","273.10","medical deduction","Step 4: subtract excess medical (elderly/disabled only)","If entitled to excess medical deduction (273.9(d)(3)) and total medical exceeds $35, subtract the portion above $35.","elderly/disabled","HIGH",""
"7 CFR §273.10(e)(1)(i)(E)","273.10","dependent care deduction","Step 5: subtract dependent care","Subtract allowable monthly dependent-care expenses per 273.9(d)(4) for each dependent.","all earned-income households","HIGH",""
"7 CFR §273.10(e)(1)(i)(F)","273.10","child support deduction","Step 6: subtract child support deduction (if elected)","If the State has elected child support as a deduction rather than an exclusion, subtract allowable monthly child support per 273.9(d)(5). STATE-OPTION JOIN.","all","MEDIUM",""
"7 CFR §273.10(e)(1)(i)(G)","273.10","shelter deduction","Step 7: subtract homeless shelter deduction (if any)","Subtract the homeless shelter deduction (up to $143) if applicable; bars further shelter computation under (H).","all","MEDIUM",""
"7 CFR §273.10(e)(1)(i)(H)","273.10","shelter deduction","Step 8a: compute excess shelter (50% of income test)","Total allowable shelter expenses; subtract 50% of post-deduction monthly income. Remainder is excess shelter cost.","all","HIGH","""Subtract from total shelter costs 50 percent of the household monthly income after all the above deductions"""
"7 CFR §273.10(e)(1)(i)(I)","273.10","shelter deduction","Step 8b: subtract excess shelter (capped or uncapped)","Subtract excess shelter cost from post-deduction income -- capped for non-elderly/non-disabled households at the maximum shelter deduction; uncapped for households with an elderly or disabled member.","elderly/disabled, all","HIGH","""Households not subject to a capped shelter expense shall have the full amount exceeding 50 percent of their net income subtracted."""
"7 CFR §273.10(e)(1)(ii)","273.10","calculation methodology","Rounding procedure options","State agency must use one of two rounding procedures: (A) round 1-49 cents down, 50-99 cents up; or (B) apply the State's TANF-program rounding. The State may carry cents through individual shelter and medical costs and round only the final deduction. STATE-OPTION JOIN.","all","MEDIUM",""
"7 CFR §273.10(e)(2)","273.10","eligibility standards","Eligibility and benefits (umbrella)","Compares net income to standards, treats students-aging-out, and prescribes the allotment formula and minimum benefits.","all","HIGH",""
"7 CFR §273.10(e)(2)(i)(A)","273.10","eligibility standards","Elderly/disabled net-only income test","Households with an elderly or disabled member have net income compared to the 273.9(a)(2) monthly net income standard.","elderly/disabled","HIGH",""
"7 CFR §273.10(e)(2)(i)(B)","273.10","eligibility standards","Non-elderly/disabled gross + net income tests","Households without an elderly or disabled member must additionally pass the gross income test under 273.9(a)(1).","all","HIGH",""
"7 CFR §273.10(e)(2)(i)(C)","273.10","eligibility standards","Destitute household eligibility under 273.10(e)(3)","Destitute households (migrant/seasonal farmworkers) have their gross and net income computed under 273.10(e)(3) and compared to the appropriate standard.","self-employed (farm), gig/contract workers","MEDIUM",""
"7 CFR §273.10(e)(2)(i)(D)","273.10","eligibility standards","59-turning-60 elderly status during month of application","If a household member turns 60 during the month of application, the State must use the elderly-eligibility test under (e)(2)(i)(A).","elderly/disabled","MEDIUM",""
"7 CFR §273.10(e)(2)(i)(E)","273.10","eligibility standards","Student turning 18 during certification","If a student whose income is excluded under 273.9(c)(7) turns 18 during the month of application, the State excludes the earnings in the month of application and counts them the following month. If turning 18 mid-certification, exclusion continues through the month they turn 18.","students","MEDIUM",""
"7 CFR §273.10(e)(2)(ii)(A)","273.10","calculation methodology","Allotment formula: TFP minus 30% of net","The monthly allotment equals the maximum SNAP allotment for the household's size, reduced by 30% of net monthly income. Rounding: either round 30%-of-net up to the nearest dollar, or do not round 30%-of-net and round the final allotment down.","all","HIGH","""household monthly allotment shall be equal to the maximum SNAP allotment for the household size reduced by 30 percent of the household net monthly income"""
"7 CFR §273.10(e)(2)(ii)(B)","273.10","calculation methodology","Initial-month minimum-issuance threshold","If the initial-month calculation yields less than $10, no benefits are issued for the initial month.","all","MEDIUM","""If the calculation of benefits ... for an initial month would yield an allotment of less than $10 ... no benefits shall be issued"""
"7 CFR §273.10(e)(2)(ii)(C)","273.10","calculation methodology","Minimum benefit for 1- and 2-person households","After the initial month, all eligible one- and two-person households receive a minimum monthly allotment of 8% of the maximum allotment for a household of one, rounded to the nearest dollar.","all","HIGH","""all eligible one-person and two-person households shall receive minimum monthly allotments equal to the minimum benefit"""
"7 CFR §273.10(e)(2)(iii)","273.10","calculation methodology","No-benefit households of 3+ -- denial or suspension","Eligible 3+-person households entitled to no benefits may be denied or suspended at State option. Suspended households retain reapplication rights and a conversion-to-issuance procedure on change reporting. STATE-OPTION JOIN.","all","MEDIUM",""
"7 CFR §273.10(e)(2)(iv)","273.10","calculation methodology","Initial-month no-benefit handling","Households entitled to no benefits in their initial month but entitled in subsequent months are certified beginning with the month of application.","all","MEDIUM",""
"7 CFR §273.10(e)(2)(v)","273.10","eligibility standards","Mid-certification standard changes","When circumstances change such that a different income standard applies, the State applies it at the next recertification or whenever it changes eligibility/benefit level/certification period -- whichever is first.","all","LOW",""
"7 CFR §273.10(e)(2)(vi)","273.10","calculation methodology","Reductions / suspensions / cancellations of allotments","Procedures for benefit reductions, suspensions, or cancellations ordered under 271.7, including treatment of minimum benefits during 90%+ reductions.","all","LOW",""
"7 CFR §273.10(e)(3)","273.10","calculation methodology","Destitute households","Migrant/seasonal farmworker households with little/no income but with prior or new income in the application month qualify for destitute treatment -- expedited service and special income calculation that disregards anticipated new-source income after the application date. Non-migrant/seasonal households cannot be destitute.","self-employed (farm), gig/contract workers","HIGH","""Migrant or seasonal farmworker households may have little or no income at the time of application and may be in need of immediate food assistance"""
"7 CFR §273.10(e)(3)(i)","273.10","calculation methodology","Destitute -- terminated-source income","Households whose only application-month income was received prior to application and is from a terminated source are destitute and receive expedited service. (A) Monthly-or-more-frequent income is terminated if not received again in the balance of the application month or the next month. (B) Less-frequent income terminates if not received in the next normal payment month.","self-employed (farm), gig/contract workers","HIGH",""
"7 CFR §273.10(e)(3)(ii)","273.10","calculation methodology","Destitute -- new-source income (>$25 by day 10)","Households whose only application-month income is from a new source are destitute if income above $25 from that new source will not be received by the 10th calendar day after application. New-source thresholds differ for monthly+ and less-frequent income.","self-employed (farm), gig/contract workers","HIGH",""
"7 CFR §273.10(e)(3)(iii)","273.10","calculation methodology","Destitute -- combined terminated + new source","Households may receive both terminated-source pre-application income and new-source post-application income and still be destitute if no other income is received in the application month and new-source income above $25 will not arrive by day 10.","self-employed (farm), gig/contract workers","MEDIUM",""
"7 CFR §273.10(e)(3)(iv)","273.10","calculation methodology","Destitute calculation -- disregard post-application new income","Destitute eligibility and benefits are calculated using only income received between the first of the month and the date of application. Anticipated new-source post-application income is disregarded.","self-employed (farm), gig/contract workers","HIGH","""Any income from a new source that is anticipated after the day of application shall be disregarded."""
"7 CFR §273.10(e)(3)(v)","273.10","calculation methodology","Destitute treatment of employer travel advances","Travel advances from a new employer are excluded as reimbursements (and do not affect destitute determination) unless by written contract they are wage advances subtracted from later wages, in which case they count as income but still do not affect the destitute determination.","gig/contract workers, self-employed (farm)","MEDIUM",""
"7 CFR §273.10(e)(3)(vi)","273.10","calculation methodology","Same employer / migrant crew-chief rule","A member changing jobs but staying with the same employer is treated as still receiving income from the same source. A migrant farmworker's source is the grower, not the crew chief -- moving growers means moving sources.","self-employed (farm), gig/contract workers","MEDIUM",""
"7 CFR §273.10(e)(3)(vii)","273.10","calculation methodology","Destitute treatment at recertification","Destitute procedures apply at initial application and recertification, but only for the first month of each certification period.","self-employed (farm), gig/contract workers","LOW",""
"7 CFR §273.10(e)(4)","273.10","calculation methodology","Thrifty Food Plan (TFP) and maximum allotments","Maximum allotments are based on the TFP, uniform by household size in the 48 contiguous states/DC. TFPs are adjusted annually and posted by FNS. Hawaii, Alaska, Guam, and USVI TFPs are computed with geographic price adjustments.","all","MEDIUM",""
"7 CFR §273.10(e)(4)(i)","273.10","calculation methodology","Maximum SNAP allotment level -- TFP-based","Maximum allotments are based on the TFP and uniform across the 48 contiguous states/DC. Separate Hawaii, Alaska, Guam, USVI TFPs reflect local food price adjustments. Posted annually by FNS.","all","MEDIUM","""Maximum SNAP allotments shall be based on the TFP"""
"7 CFR §273.10(e)(4)(ii)","273.10","calculation methodology","Annual TFP-based adjustment","Effective Oct. 1, 1996, maximum SNAP allotments must be based on 100% of the cost of the TFP for the preceding June, rounded to the nearest lower dollar -- with a floor that allotments not fall below those in effect on September 30, 1996.","all","MEDIUM",""
"7 CFR §273.10(f)","273.10","calculation methodology","Certification periods (umbrella)","Sets out certification-period length rules: must be definite, no longer than 12 months (24 for elderly/disabled or reservation households on monthly reporting), with rules for shortening and lengthening.","all","HIGH",""
"7 CFR §273.10(f)(1)","273.10","calculation methodology","24-month certification for all-elderly/disabled households","Households where all adult members are elderly or disabled may be certified for up to 24 months. The State must contact the household at least once every 12 months by any method it chooses.","elderly/disabled","MEDIUM","""may certify for up to 24 months households in which all adult members are elderly or disabled"""
"7 CFR §273.10(f)(2)","273.10","calculation methodology","24-month certification for reservation households on monthly reporting","Households residing on a reservation that the State requires to submit monthly reports under 273.21 are certified for 24 months unless FNS waives the requirement.","all","LOW",""
"7 CFR §273.10(f)(3)","273.10","calculation methodology","Certification period length guidance","States should assign the longest certification period consistent with circumstances; at least 6 months unless unstable or ABAWD-containing; 3-month floor for unstable/ABAWD; 1-2 months for households likely to become ineligible soon.","all","MEDIUM",""
"7 CFR §273.10(f)(3)(i)","273.10","calculation methodology","6-month minimum certification period","Households should be assigned certification periods of at least 6 months, unless circumstances are unstable or the household contains an ABAWD.","all","MEDIUM",""
"7 CFR §273.10(f)(3)(ii)","273.10","calculation methodology","Unstable / ABAWD: 3-month minimum","Households with unstable circumstances (e.g., zero net income) or with an ABAWD member should be assigned certification periods consistent with their circumstances, generally no less than 3 months.","gig/contract workers, tipped workers, cash-paid workers, all earned-income households","HIGH","""Households with unstable circumstances ... and households with an ABAWD member should be assigned certification periods consistent with their circumstances, but generally no less than 3 months."""
"7 CFR §273.10(f)(3)(iii)","273.10","calculation methodology","1- to 2-month certification when ineligibility likely","1- or 2-month certification periods may be assigned when it appears likely the household will become ineligible in the near future.","all","LOW",""
"7 CFR §273.10(f)(4)","273.10","calculation methodology","Shortening certification periods","The State may not end a certification period earlier than its assigned termination date except for ineligibility, 273.12(c)(3) noncompliance, or to comply with 273.12(a)(5). Loss of PA or employment status changes alone are insufficient.","all","MEDIUM",""
"7 CFR §273.10(f)(5)","273.10","calculation methodology","Lengthening certification periods","States may extend a certification period once established, capped at 24 months for elderly/disabled households or 12 months for others, and must notify the household.","all","LOW",""
"7 CFR §273.10(g)","273.10","verification","Certification notices to households (umbrella)","Sets out required written notices for initial applications and recertifications, including notice of eligibility, denial, and pending status.","all","MEDIUM",""
"7 CFR §273.10(g)(1)","273.10","verification","Initial-application notices","States must provide applicants with notice of eligibility, denial, or pending status as soon as a determination is made -- no later than 30 days after initial application.","all","MEDIUM",""
"7 CFR §273.10(g)(1)(i)","273.10","verification","Notice of eligibility content requirements","Notice of eligibility must specify the allotment amount, certification period dates, anticipated variations, fair-hearing rights, SNAP office contact, and (where available) free legal-representation resources.","all","LOW",""
